Voyage_ID,Vessel_name,Voyage_itinerary_place,Voyage_itinerary_purchase,Voyage_itinerary_disembarkation,Year_of_arrival,Slaves_arrived_at_1st_port,Captains_name
81711,Hannah,Liverpool,Calabar,"St. Vincent, port unspecified",1787,390,"Smith, Bryan"
81712,Hannah,Liverpool,New Calabar,"Grenada, port unspecified",1789,351,"Wilson, Charles"
81713,Hannah,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1789,303,"Wilson, Charles"
81714,Hannah,Liverpool,Bonny,"St. Vincent, port unspecified",1791,316,"Young, William"
81715,Hannah,Liverpool,Congo River,"Grenada, port unspecified",1792,331,"Young, William"
81716,Hannah,Liverpool,Ambriz,Kingston,1793,304,"Young, William"
81717,Hannah,Liverpool,,,1794,,Stringer
81718,Hannibal,London,Bonny,"Dominica, port unspecified",1785,436,"Banfield, Joseph"
81723,Harlequin,Liverpool,Cape Mount (Cape Grand Mount),"Barbados, port unspecified",1797,252,"Topping, Jesse<br/> Higgins, Isaac"
81724,Harlequin,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1798,274,"Topping, Jesse"
81725,Harlequin,Liverpool,"West Central Africa and St. Helena, port unspecified",,1798,,"Topping, Jesse"
81726,Harlequin,Liverpool,"West Central Africa and St. Helena, port unspecified",Demerara,1800,268,"Maginnis, John"
81727,Harlequin,Liverpool,"Africa., port unspecified",Havana,1802,143,"Brade, Thomas"
81728,Harlequin,Liverpool,Windward Coast (Nunez - Assini),Saint John (Antigua),1786,60,"Walker, William"
81729,Harlequin,"Antigua, port unspecified","Africa., port unspecified","Barbados, port unspecified",1787,40,"Walker, William"
81730,Harlequin,Liverpool,Sierra Leone estuary,Kingston,1793,110,"Jones, John<br/> Grierson"
81731,Harlequin,Liverpool,Cape Coast Castle,Kingston,1783,497,"Fayrer, Joseph<br/> Simmons, John"
81732,Harmonie,Liverpool,"West Central Africa and St. Helena, port unspecified",Cumingsberg,1806,225,"Ainsworth, John"
81733,Harriott,London,"Bight of Benin, port unspecified","St. Vincent, port unspecified",1798,339,"Clark, James"
81734,Harriott,London,Anomabu,Demerara,1799,350,"Clark, James"
81735,Harriott,London,"Gold Coast, port unspecified",Suriname,1804,260,"Clarke, James<br/> Sutherland"
81736,Harriott,London,Accra,Demerara,1805,273,"Sutherland, Stewart"
81737,Harriott,London,"Gold Coast, port unspecified",Demerara,1806,275,"Clark, James<br/> Duncan"
81738,Harriott,London,Accra,Demerara,1807,255,"Mitchelson<br/> Williamson, Jacob<br/> Clark"
81739,Harriott,Liverpool,"Lagos, Onim",Demerara,1806,240,"Woolrich, John<br/> Stewart, Peter"
81740,Harriott,Liverpool,Loango,Cayenne,1807,,"Irwin, James"
81741,Harriott,Liverpool,Ambriz,"Barbados, port unspecified",1799,313,"Lace, William"
81742,Abby,London,,,1797,,Webb
81743,Harriott,Liverpool,Sierra Leone estuary,"Bahamas, port unspecified",1801,,"Cusack, Matthew<br/> Gridler, James"
81744,Harriott,Liverpool,Gambia,"Trinidad, port unspecified",1802,206,"Flinn, John"
81745,Harriott,Liverpool,"Africa., port unspecified","Tortola, port unspecified",1803,186,"Everitt, Richard"
81746,Harriott,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Lucia, port unspecified",1805,219,"Everett, Richard"
81753,Hawke,Liverpool,Cameroons River,"St. Lucia, port unspecified",1781,,"Smale, John"
81754,Hawke,Liverpool,,,1781,,"Smale, John"
81755,Hawke,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1792,,"Grierson, Alexander"
81756,Hawke,Liverpool,Cape Mount (Cape Grand Mount),"St. Kitts, port unspecified",1793,239,"Grierson, Alexander<br/> Topping, Jesse"
81757,Hawke,London,Cape Mount (Cape Grand Mount),Demerara,1799,273,Brown<br/> Bowers
81758,Hawke,Liverpool,Whydah,Demerara,1802,196,"Quay, John"
81759,Hawke,,"Africa., port unspecified",St. Croix,1799,73,"Stott, Walter"
81760,Hazard,Liverpool,Cameroons,"Jamaica, port unspecified",1792,169,"Forrest, Archibald"
81761,Hazard,Liverpool,,,1792,,Rigby
81765,Heart of Oak,Liverpool,Cape Coast Castle,"Tortola, port unspecified",1787,143,"Jones, Richard"
81766,Heart of Oak,Liverpool,Iles de Los,"Grenada, port unspecified",1793,277,"Fell, William"
81770,Hector,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1784,310,"Ash, John"
81775,Hector,Liverpool,Calabar,"Trinidad, port unspecified",1803,339,"Williams, Joseph"
81776,Hector,Liverpool,Calabar,Demerara,1804,300,"Williams, Joseph"
81777,Hector,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1801,,"Mawdsley, Peter"
81778,Hector,Liverpool,"West Central Africa and St. Helena, port unspecified",Havana,1802,263,"Blair, James<br/> Handyside, William"
81779,Hector,Liverpool,"Africa., port unspecified",Suriname,1804,249,"Irvin, George"
81780,Hector,Liverpool,Congo River,Charleston,1806,240,"Harney, Thomas"
81781,Hector,Liverpool,Windward Coast (Nunez - Assini),"Barbados, port unspecified",1807,,"Payne, Thomas"
81782,Hector,Liverpool,Bonny,Kingston,1799,,"Stringer, William"
81783,Hector,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1801,370,"Bent, Theophilous<br/> Blackie, William"
81784,Helen,Liverpool,Grenada Point,"Grenada, port unspecified",1791,318,"Grice, William"
81785,Helen,Liverpool,"Africa., port unspecified","Grenada, port unspecified",1794,,"Ashburner, Thomas<br/> Rigby, John"
81786,Helen,Liverpool,"Africa., port unspecified",,1796,,"Brine, Jonathan"
81787,Helen,London,"Africa., port unspecified",,1797,,Anderson
81788,Helen,London,Goree,"Trinidad, port unspecified",1802,200,"Gordon, J"
81789,Helen,London,"Africa., port unspecified","Trinidad, port unspecified",1803,187,"Gordon, J"
81790,Helen,Liverpool,"Africa., port unspecified","Dominica, port unspecified",1806,,"Mackee, James<br/> Norris, Thomas<br/> Smith, William"
81791,Helen,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Dominica, port unspecified",1807,,"Gardner, Thomas"
81792,Henrietta,Liverpool,Gambia,,1787,,"Miller, William"
81793,Henrietta,Liverpool,Cameroons,Kingston,1806,195,"Davidson, Richard<br/> Henderson, William"
82949,Nimble,Liverpool,"Africa., port unspecified",St. Thomas,1804,257,"Bridge, Thomas"
82950,Nymph,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1803,165,"Barrows, Richard<br/> Heywood, John"
82957,Ocean,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, port unspecified",1794,,"Boardman, Timothy"
82958,Ocean,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,1795,,"Boardman, Timothy"
82959,Ocean,Liverpool,,,1799,,"Martin, Richard"
82960,Ocean,,Iles de Los,Demerara,1798,73,
82961,Old Dick,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1793,344,"Threlfall, Joseph"
82962,Old Dick,Liverpool,Loango,"Grenada, port unspecified",1794,345,"Bird, James"
82963,Old Dick,Liverpool,Bonny,Kingston,1796,340,"Bird, James"
82964,Old England,Liverpool,"Gold Coast, port unspecified",Charleston,1784,181,"Harrison, Edward<br/> Garnet, John"
82965,Old England,Lancaster,Bassa,Kingston,1785,194,"Hort, Josiah<br/> Gellin, John"
82966,Onslow,Liverpool,"Bight of Benin, port unspecified","Barbados, port unspecified",1796,274,"Cartmell, William"
82967,Onslow,Liverpool,,,1797,,"Bailiff, James"
82968,Orange Grove,Liverpool,"Bight of Benin, port unspecified",Havana,1791,230,"Irving, Andrew<br/> Williams, John K"
82969,Orange Grove,Liverpool,"Africa., port unspecified",Kingston,1792,214,"Carrol, William<br/> Lawson, John"
82970,Orange Grove,Liverpool,New Calabar,???,1802,254,"Payne, Thomas"
82971,Orange Grove,Liverpool,Loango,Basse-Terre,1803,,"Payne, Thomas"
82972,Ormond,Liverpool,,,1786,,"Kennedy, Henry"
82973,Oronoko,Liverpool,Calabar,"Grenada, port unspecified",1785,270,"Thornborrow, Robert"
82974,Oronoko,Liverpool,Cameroons,"Barbados, port unspecified",1786,195,"Thornborrow, Robert<br/> Reed, Samuel"
82976,Othello,Liverpool,Sierra Leone estuary,Kingston,1782,190,"Johnson, James"
82977,Othello,Liverpool,Windward Coast (Nunez - Assini),"Tortola, port unspecified",1783,,"Johnson, James"
82978,Othello,Liverpool,Cameroons,"Dominica, port unspecified",1788,150,"McGauley, James"
82979,Othello,Liverpool,Calabar,"Grenada, port unspecified",1790,277,"Powell, John"
82980,Othello,Liverpool,Calabar,"Jamaica, port unspecified",1791,250,"Powell, John<br/> Hewitt, William"
82981,Othello,Liverpool,Calabar,Montego Bay,1793,283,"Hewitt, William<br/> Jolly, Thomas"
82982,Othello,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1794,342,"Christian, David"
82983,Othello,Liverpool,Bonny,,1795,,"Christian, David"
82989,Otter,Liverpool,Cabinda,Kingston,1799,410,"Grierson, Alexander"
82990,Otter,Liverpool,Porto Novo,Suriname,1801,,"Hackney, Alexander"
82991,Otter,Liverpool,Congo River,"St. Kitts, port unspecified",1802,274,"Hart, Richard"
82992,Otter,Liverpool,Congo River,Kingston,1803,267,"Hart, Richard<br/> Laughton, John"
82993,Otter,Liverpool,Cameroons,Demerara,1804,245,"Taylor, Robert"
82994,Otter,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",St. Thomas,1806,,"Boardman, Timothy"
82995,Otter,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Demerara,1807,190,"Boardman, Timothy"
82996,Otway,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1801,334,"Heron, John"
82997,Otway,Liverpool,Bonny,Kingston,1802,321,"Mann, Luke"
82998,Otway,Liverpool,Bonny,Kingston,1803,302,"Mann, Luke<br/> Lyon, Leigh"
82999,Otway,Liverpool,Congo River,Kingston,1805,332,"Stewart, Duncan"
83662,Swallow,Liverpool,Gabon,Basse-Terre,1806,,"Vardy, Joseph<br/> Kirkpatrick"
83663,Swallow,Liverpool,Cape Coast Castle,St. Croix,1797,98,"Andow, Richard"
83664,Swallow,,Cape Coast Castle,Zion Hill,1799,57,
83665,Swallow,Liverpool,Cameroons,"Dominica, port unspecified",1787,179,"Threlfall, Joseph"
83670,Swallow,Liverpool,"West Central Africa and St. Helena, port unspecified",Cayenne,1798,,"White, Robert"
83672,Swan,London,"Gold Coast, port unspecified",Charleston,1806,194,"Smith, D"
83676,Swift,London,"Africa., port unspecified",Cap Francais,1780,,"Good, J"
83677,Swift,Liverpool,,,1784,,"Scott, John"
83678,Swift,Liverpool,Gambia,"Grenada, port unspecified",1793,,"Kendall, John"
83679,Swift,Liverpool,Gambia,"Barbados, port unspecified",1794,,"Kendall, John"
83680,Swift,"St. Kitts, port unspecified",Iles de Los,,1795,,
83681,Swift,Liverpool,"Africa., port unspecified",Havana,1804,112,"Landy, Richard"
83682,Swift,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1805,119,"Robinson, Batty"
83685,Swift,Liverpool,,,1795,,"Fell, William"
83686,Swift,Liverpool,,,1795,,"Hodgson, Joseph"
83688,Swift,Liverpool,Windward Coast (Nunez - Assini),"Barbados, port unspecified",1796,225,"Jones, Owen"
83689,Swift,,Sierra Leone estuary,"Grenada, port unspecified",1799,164,
83690,Swift,Liverpool,Malembo,Kingston,1799,389,"Williams, William"
83700,Talbot,London,"Gold Coast, port unspecified","St. Vincent, port unspecified",1792,130,"Carter, T<br/> McElheran, David"
83701,Talbot,London,Anomabu,"St. Vincent, port unspecified",1793,131,"Haliburton, George<br/> Frazer, John"
83702,Tamazin,Liverpool,"Africa., port unspecified",,1792,,"Noble, James"
83703,Tamer,Liverpool,"West Central Africa and St. Helena, port unspecified","Bahamas, port unspecified",1801,,"Brown, William"
83704,Tamer,Liverpool,"West Central Africa and St. Helena, port unspecified",St. Croix,1802,375,"May, Vincent"
83705,Tamer,Liverpool,Cabinda,"Barbados, port unspecified",1803,,"May, Vincent"
83706,Tamerlane,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1793,194,"White, Robert<br/> Mule, Robert"
83707,Tarleton,Liverpool,Calabar,"Grenada, port unspecified",1785,510,"Fairweather, Patrick"
83708,Tarleton,Liverpool,Calabar,"Dominica, port unspecified",1786,360,"Fairweather, Patrick<br/> Smith, Thomas"
83709,Tarleton,Liverpool,Calabar,"Dominica, port unspecified",1788,308,"Smith, Thomas<br/> Fairweather, Patrick"
83710,Tarleton,Liverpool,,,1788,,"Christian<br/> Mitchell, John"
83711,Tarleton,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1797,423,"Cannell, Thomas"
83712,Tarleton,Liverpool,Loango,"Martinique, port unspecified",1796,381,"Shimmins, Radcliffe"
83713,Tarleton,Liverpool,Bonny,"St. Vincent, port unspecified",1797,435,"Shimmins, Radcliffe"
83714,Tarleton,Liverpool,,,1798,,"Shimmins, Radcliffe"
83715,Tartar,Liverpool,,,1799,,"Sowerby, John<br/> Hewitt"
83721,Tartar,Liverpool,Banana Islands,St. Eustatius,1781,430,"Houghton, John"
83722,Tartar,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1782,500,"Houghton, John"
83723,Tartar,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified",1783,528,"Mashiter, William"
83724,Tartar,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1784,432,"Mashiter, William"
83725,Tartar,Liverpool,Benin,"Dominica, port unspecified",1787,240,"Dalzel, Archibald"
83726,Tartar,Liverpool,Benin,"British Caribbean, colony unspecified",1788,,"Hughes, John<br/> Phillips, John"
83727,Tartar,Liverpool,Congo River,Charleston,1807,240,"Mitchell, John"
83729,Telegraph,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1799,135,"Maginnis, John"
960,Santiago,Santiago de Cuba,River Brass,"Cuba, port unspecified",1830,105,"Rivet, J"
961,Catalana,Barcelona,Sao Tome,"Cuba, port unspecified",1830,,"Ricoma, Jaime"
962,Andromaca,,"Africa., port unspecified","Cuba, port unspecified",1830,,"Villavaso, Jose Lucas"
963,Emilio (a) Caesar,Santiago de Cuba,New Calabar,"Cuba, port unspecified",1830,190,"Lescaya, Fernando"
964,Amistad Habanera,Havana,Sao Tome,Havana,1830,,"Arrarte, Juan Bautista"
965,Asuncion,Havana,Sao Tome,Havana,1830,,"Aspeitia, Francisco"
966,Iberia,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,,"Solan, A<br/> Mancebo, Antonio"
967,Urraca,Havana,"Africa., port unspecified",Trinidad de Cuba,1830,,"Casas, L<br/> Vega, JozÃ© Fernando de la"
968,Indagadora,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,,"Rodriguez, J J"
969,Negrito,,"Africa., port unspecified","Cuba, port unspecified",1830,,"Malbar, A"
970,Barbarita,Havana,Sao Tome,Havana,1830,,"Prats, Gaspar"
971,Fenix (a) Phoenix,Havana,"Africa., port unspecified",New Orleans,1830,82,"Torre, Francisco de la<br/> Torre, Pablo de la"
972,Ligera,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,,"Zavala, J R"
973,Vengador,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,600,"Capera, A"
974,Marinerito,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,,"Aguilleiro, R<br/> Pulles, Antonio"
975,Segunda Gallega,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,,"Manzana, S"
978,Desengano Feliz,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1829,471,"Viana, JoÃ£o"
979,Seis de Fevereiro,Rio de Janeiro,Luanda,Rio de Janeiro,1829,246,"Santos, JosÃ© Freitas dos"
980,Torquato,Rio de Janeiro,Cabinda,Rio de Janeiro,1829,272,"Roberto, VÃ­tor"
981,Restaurador,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1829,498,"Ferreira, Luiz da Costa"
982,EsmÃªnia,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,245,"Silva, JoÃ£o AntÃ´nio da"
983,Economia,Rio de Janeiro,Benguela,Rio de Janeiro,1829,332,"Caldas, Francisco ElesbÃ£o Correa"
984,Ulisses,Rio de Janeiro,Luanda,Rio de Janeiro,1829,589,"Fidalgo, AntÃ´nio dos Reis<br/> AraÃºjo, Joaquim Sampaio"
985,JÃºlia,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,207,"Neves, Jacinto de Souza"
986,Penha,Rio de Janeiro,Ambriz,Rio de Janeiro,1829,190,"Oliveira, AntÃ´nio Francisco de"
987,Maria Teresa,Lisbon,Lourenco Marques,Rio de Janeiro,1829,237,"Santos, Vicente TomÃ¡s dos"
988,Seis de Fevereiro,Rio de Janeiro,Congo River,Rio de Janeiro,1829,193,"Branco, Joaquim LÃºcio"
989,Velha de Deus,"Southeast Brazil, port unspecified",Congo River,Rio de Janeiro,1829,322,"Teixeira, JosÃ© AntÃ´nio"
990,General RÃªgo,"Southeast Brazil, port unspecified",Ambriz,Rio de Janeiro,1829,586,"Braga, AntÃ´nio Manoel de Azevedo"
991,Susana,Rio de Janeiro,Luanda,Rio de Janeiro,1829,390,"Cunha, Manoel JosÃ© Fortunato da"
992,Dois IrmÃ£os,Rio de Janeiro,Congo River,Rio de Janeiro,1829,298,"Maria, Boaventura JosÃ©"
993,UrÃ¢nia,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1829,297,"Ferreira, J M<br/> Maria, LuÃ­s JosÃ©"
994,Primavera,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1829,273,"Ferreira, Joaquim Manoel<br/> Cunha, JosÃ© Fortunato da"
995,Amizade,Rio de Janeiro,Luanda,Rio de Janeiro,1829,508,"Medeiros, Francisco AntÃ´nio de<br/> Silva, Germano LourenÃ§o da"
996,Loteria,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,159,"Soares, Antonio Joaquim"
997,InvencÃ­vel,Rio de Janeiro,Ambriz,Rio de Janeiro,1829,284,"ConceiÃ§Ã£o, JosÃ© Maria da"
998,Imperador do Brasil,Rio de Janeiro,Cabinda,Rio de Janeiro,1829,460,"Gomes, JoÃ£o"
999,Mercantil,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,172,"Maria, L J"
1000,EmÃ­lia,Rio de Janeiro,Luanda,Rio de Janeiro,1829,361,"Faria, GregÃ³rio JosÃ© de"
1001,Estrela do Rio,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1829,287,"Rosa, AntÃ´nio Gomes"
1002,Fluminense,Rio de Janeiro,Lourenco Marques,Rio de Janeiro,1829,671,"Machado, Francisco Domingos"
1003,Imperador Feliz,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1829,416,"Batista, Martinho Jose"
1004,Altivo,"Southeast Brazil, port unspecified",Ambriz,Rio de Janeiro,1829,602,"Amaral, Miguel Ribeiro do"
1005,Tejo,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1829,536,"Monteiro, LuÃ­s QueirÃ³z"
1006,Dido,Rio de Janeiro,Cabinda,Rio de Janeiro,1829,423,"Faria, Manoel de Jesus"
90748,Rose,Liverpool,Whydah,Basse-Terre,1760,,"Lawson, William<br/> Bagshaw, William"
90749,Industry,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1759,122,"Banks, John"
90750,Industry,Liverpool,,,1759,,"Banks, John"
90751,Surprize,Liverpool,Bonny,Saint John (Antigua),1758,,"Erskine, Robert"
90752,Surprize,Liverpool,Bonny,"Martinique, port unspecified",1760,,"Erskine, Robert"
90753,Surprize,Liverpool,Bonny,Havana,1764,214,"Erskine, Robert"
90754,Surprize,Liverpool,Bonny,"St. Kitts, port unspecified",1766,290,"Gardner, Caleb"
90755,Spencer,Liverpool,Sierra Leone estuary,"Jamaica, port unspecified",1758,,"Cooke, Daniel"
90757,Jupiter,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1758,268,"Patrick, Thomas"
90758,Jupiter,,"West Central Africa and St. Helena, port unspecified",Basse-Terre,1761,115,"Barrow<br/> Patrick, Thomas"
90759,Alice,Liverpool,Loango,"Jamaica, port unspecified",1758,279,"Murdock, Samuel"
90760,Alice,Liverpool,Loango,Rappahannock,1761,122,"Murdock, Samuel"
90762,Betty,Liverpool,Anomabu,"Jamaica, port unspecified",1759,,"Coward, James"
90763,True Blue,Liverpool,Anomabu,North Potomac,1759,242,"Rice, William"
90764,True Blue,Liverpool,Benin,"Jamaica, port unspecified",1761,340,"Rice, William"
90765,True Blue,Liverpool,Benin,Kingston,1762,330,"Hatton, Joshua<br/> Rice, William"
90766,Juba,Liverpool,"Windward Coast, port unspecified",,1758,,"Lowe, William"
90767,Jenny,Liverpool,Cabinda,Londontowne,1760,333,"Wilkinson, John"
11730,Jupiter,Texel,Cacheu,Cadiz,1671,,"Graaf, Jacob Alberts"
11733,Hoop,Amsterdam,"West Central Africa and St. Helena, port unspecified",Curacao,1670,,"Meijndertse, Ide"
2024,Caballero,,Corisco,"Cuba, port unspecified",1840,,Huffington
2025,Hudson,,Cabinda,"Cuba, port unspecified",1840,,Clift
2026, ,,"Africa., port unspecified","Cuba, port unspecified",1840,,
2027,Crawford,Havana,Gallinhas,"Cuba, port unspecified",1840,,Brown
2028,TrovÃ£o,,"Africa., port unspecified",Havana,1840,450,
2029,Theopilus Chase,Havana,Gallinhas,"Cuba, port unspecified",1840,,Coffin
2030, ,,"Africa., port unspecified",Bahia Honda,1840,340,
2031,S Francisco,,"Africa., port unspecified","Cuba, port unspecified",1840,180,
2032,Marinero,,"Africa., port unspecified",Havana,1840,160,
2033,Dido,,Princes Island,"Cuba, port unspecified",1840,,Strand
2034,UniÃ£o,,"Gold Coast, port unspecified","Cuba, port unspecified",1840,500,
2035, ,,"Africa., port unspecified","Cuba, port unspecified",1840,,
2036,Voador,,Grand Sestos,"Cuba, port unspecified",1840,,
2037,Feliz,,"Africa., port unspecified",Matanzas,1840,300,
2038,Ligeira,"Southeast Brazil, port unspecified",Benguela,Paranagua,1839,321,"Silveira, AntÃ´nio da"
2039,ResoluÃ§Ã£o,Rio de Janeiro,Quilimane,Ilha de Marambaia,1839,421,
2040,Dois IrmÃ£os,Rio de Janeiro,Quilimane,Rio de Janeiro,1840,580,"Abreu, F F de"
2041,EsperanÃ§a,Rio de Janeiro,Luanda,Rio de Janeiro,1840,375,"MendonÃ§a, F J de"
2042,Feliz Animoso,Rio de Janeiro,Luanda,Rio de Janeiro,1840,,"Lima, F S"
2043,Duque de VitÃ³ria,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,420,"Santos, A J dos"
2044,Paquete de Luanda,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,350,"Salgueiro, B F"
2045,Paquete,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,,"Ferreira, J C"
2046,Constante,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,,"GuimarÃ£es, F M"
2047,Leopoldina,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,1840,560,"Chaves, A R"
2048,Coquete,"Bahia, port unspecified","Africa., port unspecified","Bahia, port unspecified",1840,,"PicÃ£o, A"
2049,Sociedade Feliz,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1840,230,"Francisco, JosÃ©"
2050,GratidÃ£o,"Bahia, port unspecified","Lagos, Onim","Bahia, port unspecified",1840,380,"Martins, M"
2051,Juliana,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1840,256,"Autino, J"
2052,Graciosa Vingativa,"Bahia, port unspecified",Sao Tome,"Bahia, port unspecified",1840,80,"Pereira, J"
2053,Maria Rita,"Pernambuco, port unspecified",Luanda,Catuamo and Maria Farinha,1840,350,"Ribeiro, Pedro Marques da Silva"
2054,Formiga,"Pernambuco, port unspecified",Luanda,Catuamo and Maria Farinha,1840,,Goncabro
2055,S JosÃ©,"Pernambuco, port unspecified","Africa., port unspecified",Catuamo and Maria Farinha,1840,,"Oliveira, T"
2056,Vinte e Quatro de Julho,Rio de Janeiro,Mozambique,Catuamo and Maria Farinha,1840,468,"Viana, A P"
2057,Paquete da Madeira,"Pernambuco, port unspecified",Mozambique,Ilha de Itamaric ,1840,268,"Bastos, J"
2058,Cospe Fogo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1840,145,"Silva, A I da"
2059,ExperiÃªncia,"Pernambuco, port unspecified",Benguela,Catuamo and Maria Farinha,1840,387,"AntÃ´nio, Manoel"
2060,AmÃ©lia,,Luanda,Maranhao,1840,,"Nonato, Raimundo"
2061,Ãguia,,Princes Island,Maranhao,1840,,"Lima, Raimundo AntÃ´nio de"
2062,V de SÃ¡ da Bandeira,,"Africa., port unspecified",Maranhao,1840,,"Avelar, J S de"
2063,Ãguia,Maranhao,Sao Tome,Maranhao,1840,,"Lima, Raimundo AntÃ´nio de"
2064, ,,"Africa., port unspecified","Cuba, port unspecified",1840,427,
2065,Vigilante,,"Africa., port unspecified","Cuba, port unspecified",1840,560,
2066,Ãguila,Havana,,,1840,,
2067, ,,"Africa., port unspecified","Cuba, port unspecified",1840,240,
2068, ,,"Africa., port unspecified",Mariel,1840,230,
2069, ,,"Africa., port unspecified","Cuba, port unspecified",1840,286,
2070,Gabriel,,"Africa., port unspecified",Havana,1840,476,
2071,JesÃºs MarÃ­a,St. Thomas,Sherbro,"Cuba, port unspecified",1840,246,"RuÃ­z, Lorenzo"
2072,Jacinto,Havana,"Africa., port unspecified","Cuba, port unspecified",1840,377,
2073, ,,"Africa., port unspecified","Cuba, port unspecified",1841,321,
2074,Estrela,,"Africa., port unspecified",Havana,1841,311,
2075, ,,"Africa., port unspecified",Mariel,1841,413,
2076,Montecu (a) Volador,,"Africa., port unspecified","Cuba, port unspecified",1841,,
2077,VÃªnus (a) Duquesa de BraganÃ§a,Havana,Mozambique,Mariel,1841,711,"Barbosa, JosÃ©"
2078,Segunda RosÃ¡lia,Havana,Rio Pongo,"Cuba, port unspecified",1841,292,"Peirano, Francisco"
2079, ,,"Africa., port unspecified",Havana,1841,345,
2080,Corina,,"Africa., port unspecified",Sagua,1841,190,"Galindez, F"
2081, ,,"Africa., port unspecified",Mariel,1841,440,
2082,TrÃªs de Fevereiro,,"Africa., port unspecified","Cuba, port unspecified",1841,636,
2083,Pampeiro,,Congo River,Mariel,1841,457,
2084,Gabriel,Havana,Gallinhas,Havana,1841,344,"Pereira, AntÃ´nio da Costa"
2085,Paquete do Porto,,"Africa., port unspecified",Guanimar,1841,250,
2086,TrovÃ£o,Havana,Whydah,Bahia Honda,1841,400,
2087,Ãguila,Havana,Popo,Bahia Honda,1841,503,
2088,TrÃªs de Fevereiro,Havana,Popo,Guanimar,1841,230,
2089,Estrela do Cabo,Rio de Janeiro,Benguela,"Cuba, south coast",1841,,"Pimenta, Manoel JosÃ©"
2090,AurÃ©lia,Santiago de Cuba,Bissau,Santiago de Cuba,1841,240,
2091,Paz,Havana,"Africa., port unspecified",Guanimar,1841,400,
2092,Voador (a) EscorpiÃ£o,Havana,"Africa., port unspecified",Guanimar,1841,238,
2093,Matancera,,"Africa., port unspecified",Mariel,1841,158,
2094,VÃªnus (a) Duquesa de BraganÃ§a,,"Africa., port unspecified",Mariel,1841,600,
2095,TrovÃ£o,Havana,"Africa., port unspecified",Bahia Honda,1841,450,
2096, ,,"Africa., port unspecified",Bahia Honda,1841,450,
2097,Paquete de Benguela (a) IdÃ¡lia,Rio de Janeiro,Benguela,Rio de Janeiro,1840,289,"Nunes, F P"
